entity_index,byte_offset,updateType,highGuid,highGuidName,subType,guid_lo,guid_hi,objectType,objectTypeName,valuesSize,fragmentCount,fragments,raw_bytes
1,0x0,1,3,Item,0,0x00000000000041a4,0x0c00040000000000,1,Item,276,2,"CGObject,Tag_Item",
2,0x127,1,3,Item,0,0x00000000000041a6,0x0c00040000000000,1,Item,276,2,"CGObject,Tag_Item",
3,0x24E,1,3,Item,0,0x00000000000041aa,0x0c00040000000000,1,Item,276,2,"CGObject,Tag_Item",
4,0x375,1,3,Item,0,0x00000000000041a8,0x0c00040000000000,1,Item,276,2,"CGObject,Tag_Item",
5,0x49C,1,3,Item,0,0x00000000000041ac,0x0c00040000000000,1,Item,276,2,"CGObject,Tag_Item",
6,0x5C3,1,3,Item,0,0x00000000000041a2,0x0c00040000000000,1,Item,276,2,"CGObject,Tag_Item",
7,0x6EA,1,3,Item,0,0x000000000000419e,0x0c00040000000000,1,Item,276,2,"CGObject,Tag_Item",
8,0x811,1,3,Item,0,0x00000000000041a0,0x0c00040000000000,1,Item,276,2,"CGObject,Tag_Item",
9,0x938,1,30,BNetAccount,0,0x0000000000000004,0x7800000000000000,18,HousingEntity,11,1,FHousingStorage_C,
10,0x954,1,55,Housing,3,0x0000000000000004,0xdc60000000008007,18,HousingEntity,46,1,FHousingPlayerHouse_C,
11,0x996,1,55,Housing,4,0x0000000000000003,0xdc80000100000000,18,HousingEntity,290,1,FNeighborhoodMirrorData_C,
12,0xACB,1,55,Housing,3,0x0000000000000001,0xdc60000000008007,18,HousingEntity,46,1,FHousingPlayerHouse_C,
13,0xB0D,1,55,Housing,3,0x0000000000000002,0xdc60000000008007,18,HousingEntity,46,1,FHousingPlayerHouse_C,
14,0xB4F,1,55,Housing,3,0x0000000000000003,0xdc60000000008007,18,HousingEntity,46,1,FHousingPlayerHouse_C,
15,0xB91,1,2,Player,0,0x0000000000000006,0x0800040000000000,7,ActivePlayer,54450,5,"CGObject,PlayerHouseInfoComponent_C,PlayerInitiativeComponent_C,Tag_Unit,Tag_Player",
