# c:/sniff/interrior_exterrior_advanced_editor/dumps/dump_12.0.1.66838_2026-04-15_09-35-59.pkt
# idx	dir	opcode	name	size
0	SMSG	0x00490000	Unknown	69
1	CMSG	0x00410001	Unknown	902
2	SMSG	0x00490004	Unknown	73
3	CMSG	0x00410005	Unknown	4
4	SMSG	0x004202CC	Unknown	101
5	SMSG	0x004202AD	Unknown	34
6	SMSG	0x004202D7	Unknown	13
7	SMSG	0x004202C9	Unknown	8
8	SMSG	0x00420001	Unknown	1606
9	SMSG	0x00420121	Unknown	60
10	SMSG	0x00420063	Unknown	241
11	SMSG	0x0042036A	SMSG_MIRROR_VARS	4560
12	CMSG	0x00400014	Unknown	4
13	CMSG	0x004000EA	Unknown	4
14	CMSG	0x00400132	Unknown	5
15	SMSG	0x0046000E	Unknown	8
16	SMSG	0x00460001	Unknown	22668
17	SMSG	0x004202AF	Unknown	5
18	SMSG	0x004202AD	Unknown	667
19	SMSG	0x004202AE	Unknown	361
20	SMSG	0x004202D7	Unknown	69
21	SMSG	0x00420355	Unknown	9
22	SMSG	0x0042021C	Unknown	110
23	SMSG	0x004201B4	Unknown	174
24	SMSG	0x00420063	Unknown	241
25	SMSG	0x0042036A	SMSG_MIRROR_VARS	4560
26	SMSG	0x00420266	Unknown	36
27	SMSG	0x0042036C	Unknown	4
28	SMSG	0x004200F3	Unknown	8
29	SMSG	0x00420224	Unknown	59
30	SMSG	0x00420224	Unknown	59
31	SMSG	0x00420224	Unknown	69
32	SMSG	0x00420224	Unknown	69
33	SMSG	0x00420224	Unknown	69
34	SMSG	0x0042021B	Unknown	12
35	SMSG	0x004202AE	Unknown	3362
36	SMSG	0x004202AE	Unknown	492
37	SMSG	0x00420018	Unknown	30301
38	SMSG	0x00420019	Unknown	267
39	SMSG	0x004201B4	Unknown	174
40	SMSG	0x00420019	Unknown	64
41	SMSG	0x00420019	Unknown	36
42	SMSG	0x00420019	Unknown	47
43	SMSG	0x00420019	Unknown	176
44	SMSG	0x0042035B	Unknown	99
45	SMSG	0x0042021E	Unknown	104
46	SMSG	0x0042021E	Unknown	104
47	SMSG	0x0042021E	Unknown	104
48	SMSG	0x0042021E	Unknown	104
49	SMSG	0x0042021E	Unknown	104
50	SMSG	0x0042021E	Unknown	104
51	SMSG	0x0042021E	Unknown	104
52	SMSG	0x0042021E	Unknown	104
53	SMSG	0x0042021E	Unknown	104
54	SMSG	0x0042021E	Unknown	104
55	SMSG	0x0042021E	Unknown	104
56	SMSG	0x0042021E	Unknown	104
57	SMSG	0x0042021E	Unknown	104
58	SMSG	0x0042021E	Unknown	104
59	SMSG	0x0042021E	Unknown	104
60	SMSG	0x0042021E	Unknown	104
61	SMSG	0x0042021E	Unknown	104
62	SMSG	0x0042021E	Unknown	104
63	SMSG	0x0042021E	Unknown	104
64	SMSG	0x0042021E	Unknown	104
65	SMSG	0x00420369	Unknown	8
66	SMSG	0x00420369	Unknown	8
67	SMSG	0x004202AE	Unknown	1999
68	SMSG	0x00420224	Unknown	59
69	SMSG	0x00420224	Unknown	69
70	SMSG	0x00420224	Unknown	69
71	SMSG	0x00420224	Unknown	69
72	SMSG	0x004202FC	Unknown	4539
73	SMSG	0x005F0007	Unknown	12
74	SMSG	0x00420369	Unknown	8
75	SMSG	0x00420369	Unknown	8
76	CMSG	0x00290036	Unknown	4
77	CMSG	0x0040010F	Unknown	4
78	CMSG	0x00400014	Unknown	4
79	CMSG	0x004000EA	Unknown	4
80	CMSG	0x004000EA	Unknown	4
81	CMSG	0x004000E9	Unknown	4
82	CMSG	0x00400123	Unknown	4
83	CMSG	0x00400176	Unknown	4
84	CMSG	0x004000EA	Unknown	4
85	CMSG	0x004000EA	Unknown	4
86	CMSG	0x0040019F	Unknown	5
87	CMSG	0x004000EA	Unknown	4
88	CMSG	0x004000CA	Unknown	4
89	CMSG	0x004000EA	Unknown	4
90	CMSG	0x00400011	Unknown	11344
91	CMSG	0x00400124	Unknown	43
92	CMSG	0x004000EA	Unknown	4
93	CMSG	0x00400124	Unknown	41
94	CMSG	0x00400124	Unknown	41
95	SMSG	0x00420274	Unknown	13
96	SMSG	0x0042021A	Unknown	58850
97	SMSG	0x00420018	Unknown	30301
98	CMSG	0x00400124	Unknown	41
99	CMSG	0x00400124	Unknown	41
100	CMSG	0x00400124	Unknown	42
101	CMSG	0x00400124	Unknown	42
102	CMSG	0x00400124	Unknown	43
103	CMSG	0x00400124	Unknown	43
104	CMSG	0x00400124	Unknown	43
105	CMSG	0x00400124	Unknown	43
106	SMSG	0x00420019	Unknown	267
107	SMSG	0x004201B4	Unknown	174
108	SMSG	0x00420019	Unknown	64
109	SMSG	0x00420019	Unknown	36
110	SMSG	0x00420019	Unknown	47
111	SMSG	0x00420019	Unknown	176
112	SMSG	0x004201BE	Unknown	12
113	SMSG	0x0042037B	Unknown	6
114	SMSG	0x0042037A	Unknown	12
115	SMSG	0x0042021B	Unknown	12
116	SMSG	0x0042021B	Unknown	12
117	SMSG	0x0042029B	Unknown	5
118	SMSG	0x0042035B	Unknown	99
119	SMSG	0x00420323	Unknown	5
120	SMSG	0x0042021E	Unknown	104
121	SMSG	0x0042021E	Unknown	104
122	SMSG	0x0042021E	Unknown	104
123	SMSG	0x0042021E	Unknown	104
124	SMSG	0x0042021E	Unknown	104
125	SMSG	0x0042021E	Unknown	104
126	SMSG	0x0042021E	Unknown	104
127	SMSG	0x0042021E	Unknown	104
128	SMSG	0x0042021E	Unknown	104
129	SMSG	0x0042021E	Unknown	104
130	CMSG	0x0040013A	Unknown	8
131	SMSG	0x0042021E	Unknown	104
132	SMSG	0x0042021E	Unknown	104
133	SMSG	0x0042021E	Unknown	104
134	SMSG	0x0042021E	Unknown	104
135	SMSG	0x0042021E	Unknown	104
136	SMSG	0x0042021E	Unknown	104
137	SMSG	0x0042021E	Unknown	104
138	SMSG	0x0042021E	Unknown	104
139	SMSG	0x0042021E	Unknown	104
140	SMSG	0x0042021E	Unknown	104
141	SMSG	0x0042021B	Unknown	12
142	SMSG	0x004202AD	Unknown	133
143	SMSG	0x004202AD	Unknown	133
144	SMSG	0x004202AD	Unknown	133
145	SMSG	0x004202AD	Unknown	133
146	SMSG	0x004202AD	Unknown	134
147	SMSG	0x004202AD	Unknown	134
148	SMSG	0x0042021B	Unknown	12
149	SMSG	0x00460003	Unknown	8110812
150	SMSG	0x0042021B	Unknown	12
151	SMSG	0x0042021B	Unknown	12
152	SMSG	0x0042021B	Unknown	12
153	SMSG	0x004202AD	Unknown	124
154	SMSG	0x004202AD	Unknown	124
155	SMSG	0x004202C5	Unknown	72
156	SMSG	0x004202AD	Unknown	124
157	SMSG	0x004202AD	Unknown	124
158	SMSG	0x004202AD	Unknown	124
159	SMSG	0x005F0007	Unknown	12
160	SMSG	0x005F0007	Unknown	13
161	SMSG	0x005F0007	Unknown	13
162	SMSG	0x005F0007	Unknown	13
163	SMSG	0x005F0007	Unknown	13
164	SMSG	0x005F0007	Unknown	13
165	SMSG	0x005F0007	Unknown	13
166	CMSG	0x00400010	Unknown	410
167	SMSG	0x00460000	Unknown	21
168	SMSG	0x00460000	Unknown	37
169	SMSG	0x00460000	Unknown	37
170	SMSG	0x00460000	Unknown	37
171	SMSG	0x00460000	Unknown	37
172	SMSG	0x00460000	Unknown	21
173	SMSG	0x00460000	Unknown	21
174	SMSG	0x00460000	Unknown	37
175	SMSG	0x00460000	Unknown	37
176	SMSG	0x00460000	Unknown	21
177	SMSG	0x00460000	Unknown	37
178	SMSG	0x00460000	Unknown	37
179	SMSG	0x00460000	Unknown	37
180	SMSG	0x00460000	Unknown	21
181	SMSG	0x00460000	Unknown	37
182	SMSG	0x00460000	Unknown	21
183	SMSG	0x00460000	Unknown	37
184	SMSG	0x00460000	Unknown	37
185	SMSG	0x00460000	Unknown	37
186	SMSG	0x00460000	Unknown	21
187	SMSG	0x00460000	Unknown	37
188	SMSG	0x00460000	Unknown	21
189	SMSG	0x00460000	Unknown	21
190	SMSG	0x00460000	Unknown	21
191	SMSG	0x00460000	Unknown	37
192	SMSG	0x00460000	Unknown	21
193	SMSG	0x00460000	Unknown	37
194	SMSG	0x00460000	Unknown	21
195	SMSG	0x00460000	Unknown	37
196	SMSG	0x00460000	Unknown	37
197	SMSG	0x00460000	Unknown	37
198	SMSG	0x00460000	Unknown	21
199	SMSG	0x00460000	Unknown	21
200	SMSG	0x00460000	Unknown	37
201	SMSG	0x00460000	Unknown	37
202	SMSG	0x00460000	Unknown	37
203	SMSG	0x00460000	Unknown	37
204	SMSG	0x00460000	Unknown	21
205	SMSG	0x00460000	Unknown	21
206	SMSG	0x00460000	Unknown	21
207	SMSG	0x00460000	Unknown	37
208	SMSG	0x00460000	Unknown	37
209	SMSG	0x00460000	Unknown	21
210	SMSG	0x00460000	Unknown	21
211	SMSG	0x00460000	Unknown	21
212	SMSG	0x00460000	Unknown	21
213	SMSG	0x00460000	Unknown	21
214	SMSG	0x00460000	Unknown	37
215	SMSG	0x00460000	Unknown	37
216	SMSG	0x00460000	Unknown	37
217	SMSG	0x00460000	Unknown	37
218	SMSG	0x00460000	Unknown	37
219	SMSG	0x00460000	Unknown	21
220	SMSG	0x00460000	Unknown	37
221	SMSG	0x00460000	Unknown	21
222	SMSG	0x00460000	Unknown	37
223	SMSG	0x00460000	Unknown	21
224	SMSG	0x00460000	Unknown	37
225	SMSG	0x00460000	Unknown	37
226	SMSG	0x00460000	Unknown	21
227	SMSG	0x00460000	Unknown	37
228	SMSG	0x00460000	Unknown	21
229	CMSG	0x00400010	Unknown	314
230	SMSG	0x00460000	Unknown	21
231	SMSG	0x00460000	Unknown	21
232	SMSG	0x00460000	Unknown	37
233	SMSG	0x00460000	Unknown	21
234	SMSG	0x00460000	Unknown	21
235	SMSG	0x00460000	Unknown	37
236	SMSG	0x00460000	Unknown	21
237	SMSG	0x00460000	Unknown	21
238	SMSG	0x00460000	Unknown	21
239	SMSG	0x00460000	Unknown	21
240	SMSG	0x00460000	Unknown	21
241	SMSG	0x00460000	Unknown	37
242	SMSG	0x00460000	Unknown	21
243	SMSG	0x00460000	Unknown	37
244	SMSG	0x00460000	Unknown	21
245	SMSG	0x00460000	Unknown	21
246	SMSG	0x00460000	Unknown	21
247	SMSG	0x00460000	Unknown	37
248	SMSG	0x00460000	Unknown	21
249	SMSG	0x00460000	Unknown	37
250	SMSG	0x00460000	Unknown	37
251	SMSG	0x00460000	Unknown	37
252	SMSG	0x00460000	Unknown	37
253	SMSG	0x00460000	Unknown	21
254	SMSG	0x00460000	Unknown	37
255	SMSG	0x00460000	Unknown	37
256	SMSG	0x00460000	Unknown	37
257	SMSG	0x00460000	Unknown	21
258	SMSG	0x00460000	Unknown	21
259	SMSG	0x00460000	Unknown	21
260	SMSG	0x00460000	Unknown	21
261	SMSG	0x00460000	Unknown	37
262	SMSG	0x00460000	Unknown	21
263	SMSG	0x00460000	Unknown	21
264	SMSG	0x00460000	Unknown	21
265	SMSG	0x00460000	Unknown	37
266	SMSG	0x00460000	Unknown	21
267	SMSG	0x00460000	Unknown	21
268	SMSG	0x00460000	Unknown	37
269	SMSG	0x00460000	Unknown	21
270	SMSG	0x00460000	Unknown	37
271	SMSG	0x00460000	Unknown	21
272	SMSG	0x00460000	Unknown	21
273	SMSG	0x00460000	Unknown	21
274	SMSG	0x00460000	Unknown	21
275	SMSG	0x00460000	Unknown	21
276	SMSG	0x00460000	Unknown	37
277	SMSG	0x00460000	Unknown	37
278	SMSG	0x00460000	Unknown	37
279	SMSG	0x00460000	Unknown	21
280	SMSG	0x00460000	Unknown	21
281	SMSG	0x00460000	Unknown	21
282	SMSG	0x00460000	Unknown	37
283	SMSG	0x00460000	Unknown	21
284	SMSG	0x00460000	Unknown	21
285	SMSG	0x00460000	Unknown	21
286	SMSG	0x00460000	Unknown	21
287	SMSG	0x00460000	Unknown	37
288	SMSG	0x00460000	Unknown	21
289	SMSG	0x00460000	Unknown	37
290	SMSG	0x00460000	Unknown	37
291	SMSG	0x00460000	Unknown	37
292	SMSG	0x00460000	Unknown	37
293	SMSG	0x00460000	Unknown	37
294	SMSG	0x00460000	Unknown	21
295	SMSG	0x00460000	Unknown	21
296	SMSG	0x00460000	Unknown	37
297	SMSG	0x00460000	Unknown	21
298	SMSG	0x00460000	Unknown	21
299	SMSG	0x00460000	Unknown	37
300	SMSG	0x00460000	Unknown	37
301	SMSG	0x00460000	Unknown	21
302	SMSG	0x00460000	Unknown	37
303	SMSG	0x00460000	Unknown	37
304	SMSG	0x00460000	Unknown	37
305	SMSG	0x00460000	Unknown	21
306	SMSG	0x00460000	Unknown	37
307	SMSG	0x00460000	Unknown	37
308	SMSG	0x00460000	Unknown	37
309	SMSG	0x00460000	Unknown	37
310	SMSG	0x00460000	Unknown	37
311	SMSG	0x00460000	Unknown	37
312	SMSG	0x00460000	Unknown	21
313	SMSG	0x00460000	Unknown	21
314	SMSG	0x00460000	Unknown	21
315	SMSG	0x00460000	Unknown	21
316	SMSG	0x00460000	Unknown	21
317	SMSG	0x00460000	Unknown	37
318	SMSG	0x00460000	Unknown	37
319	SMSG	0x00460000	Unknown	21
320	SMSG	0x00460000	Unknown	21
321	SMSG	0x00460000	Unknown	37
322	SMSG	0x00460000	Unknown	37
323	SMSG	0x00460000	Unknown	21
324	SMSG	0x00460000	Unknown	37
325	SMSG	0x00460000	Unknown	21
326	SMSG	0x00460000	Unknown	37
327	SMSG	0x00460000	Unknown	21
328	SMSG	0x00460000	Unknown	21
329	SMSG	0x00460000	Unknown	21
330	SMSG	0x00460000	Unknown	37
331	SMSG	0x00460000	Unknown	37
332	SMSG	0x00460000	Unknown	37
333	SMSG	0x00460000	Unknown	21
334	SMSG	0x00460000	Unknown	21
335	SMSG	0x00460000	Unknown	21
336	SMSG	0x00460000	Unknown	37
337	SMSG	0x00460000	Unknown	21
338	SMSG	0x00460000	Unknown	37
339	SMSG	0x00460000	Unknown	21
