# c:/sniff/floorplan_editor_rotation/dumps/dump_12.0.1.66838_2026-04-10_08-45-23.pkt
# idx	dir	opcode	name	size
0	SMSG	0x00490000	Unknown	69
1	CMSG	0x00410001	Unknown	907
2	SMSG	0x00490004	Unknown	73
3	CMSG	0x00410005	Unknown	4
4	SMSG	0x004202CC	Unknown	101
5	SMSG	0x004202D7	Unknown	13
6	SMSG	0x004202AD	Unknown	34
7	SMSG	0x004202AE	Unknown	361
8	SMSG	0x004202AD	Unknown	667
9	SMSG	0x004202C9	Unknown	8
10	SMSG	0x00420001	Unknown	1606
11	SMSG	0x00420121	Unknown	60
12	SMSG	0x00420063	Unknown	241
13	SMSG	0x0042036A	SMSG_MIRROR_VARS	4560
14	CMSG	0x00400014	Unknown	4
15	CMSG	0x004000EA	Unknown	4
16	CMSG	0x00400132	Unknown	5
17	SMSG	0x0046000E	Unknown	8
18	SMSG	0x00460001	Unknown	22420
19	SMSG	0x004202AF	Unknown	5
20	SMSG	0x004202AE	Unknown	492
21	SMSG	0x00420355	Unknown	9
22	SMSG	0x0042021C	Unknown	110
23	SMSG	0x004201B4	Unknown	174
24	SMSG	0x00420063	Unknown	241
25	SMSG	0x0042036A	SMSG_MIRROR_VARS	4560
26	SMSG	0x00420266	Unknown	36
27	SMSG	0x0042036C	Unknown	4
28	SMSG	0x004200F3	Unknown	8
29	SMSG	0x00420224	Unknown	59
30	SMSG	0x00420224	Unknown	59
31	SMSG	0x00420224	Unknown	69
32	SMSG	0x00420224	Unknown	69
33	SMSG	0x00420224	Unknown	69
34	SMSG	0x0042021B	Unknown	12
35	SMSG	0x004202D7	Unknown	69
36	SMSG	0x00420018	Unknown	30301
37	SMSG	0x00420019	Unknown	267
38	SMSG	0x004201B4	Unknown	174
39	SMSG	0x00420019	Unknown	36
40	SMSG	0x00420019	Unknown	64
41	SMSG	0x00420019	Unknown	47
42	SMSG	0x00420019	Unknown	176
43	SMSG	0x0042035B	Unknown	99
44	SMSG	0x0042021E	Unknown	104
45	SMSG	0x0042021E	Unknown	104
46	SMSG	0x0042021E	Unknown	104
47	SMSG	0x0042021E	Unknown	104
48	SMSG	0x0042021E	Unknown	104
49	SMSG	0x0042021E	Unknown	104
50	SMSG	0x0042021E	Unknown	104
51	SMSG	0x0042021E	Unknown	104
52	SMSG	0x0042021E	Unknown	104
53	SMSG	0x0042021E	Unknown	104
54	SMSG	0x0042021E	Unknown	104
55	SMSG	0x0042021E	Unknown	104
56	SMSG	0x0042021E	Unknown	104
57	SMSG	0x0042021E	Unknown	104
58	SMSG	0x0042021E	Unknown	104
59	SMSG	0x0042021E	Unknown	104
60	SMSG	0x0042021E	Unknown	104
61	SMSG	0x0042021E	Unknown	104
62	SMSG	0x0042021E	Unknown	104
63	SMSG	0x0042021E	Unknown	104
64	SMSG	0x00420369	Unknown	8
65	SMSG	0x00420369	Unknown	8
66	SMSG	0x004202AE	Unknown	3157
67	SMSG	0x004202AE	Unknown	197
68	SMSG	0x004202AE	Unknown	1663
69	SMSG	0x00420224	Unknown	59
70	SMSG	0x00420224	Unknown	69
71	SMSG	0x00420224	Unknown	69
72	SMSG	0x00420224	Unknown	69
73	SMSG	0x004202FC	Unknown	4539
