entity_index,byte_offset,updateType,highGuid,highGuidName,subType,guid_lo,guid_hi,objectType,objectTypeName,valuesSize,fragmentCount,fragments,raw_bytes
1,0x0,1,3,Item,0,0x40000009716398f3,0x0c00d40000000000,1,Item,282,2,"CGObject,Tag_Item",
2,0x131,1,3,Item,0,0x4000000971639905,0x0c00d40000000000,1,Item,282,2,"CGObject,Tag_Item",
3,0x262,1,3,Item,0,0x400000098f0d2b39,0x0c00d40000000000,1,Item,282,2,"CGObject,Tag_Item",
4,0x393,1,3,Item,0,0x4000000d6958b9f8,0x0c00d40000000000,1,Item,300,2,"CGObject,Tag_Item",
5,0x4D6,1,3,Item,0,0x4000000d6f56cb0c,0x0c00d40000000000,1,Item,282,2,"CGObject,Tag_Item",
6,0x607,1,3,Item,0,0x4000000d5e6366f4,0x0c00d40000000000,1,Item,300,2,"CGObject,Tag_Item",
7,0x74A,1,3,Item,0,0x4000000979ff78d8,0x0c00d40000000000,1,Item,282,2,"CGObject,Tag_Item",
8,0x87B,1,3,Item,0,0x400000097e131297,0x0c00d40000000000,1,Item,282,2,"CGObject,Tag_Item",
9,0x9AC,1,3,Item,0,0x4000000986c273a4,0x0c00d40000000000,1,Item,282,2,"CGObject,Tag_Item",
10,0xADD,1,3,Item,0,0x40000009876ef4f9,0x0c00d40000000000,1,Item,282,2,"CGObject,Tag_Item",
11,0xC0E,1,3,Item,0,0x4000000c70348fcf,0x0c00d40000000000,1,Item,282,2,"CGObject,Tag_Item",
12,0xD3F,1,3,Item,0,0x4000000c7405ec5c,0x0c00d40000000000,1,Item,291,2,"CGObject,Tag_Item",
13,0xE79,1,3,Item,0,0x4000000d6e4528f2,0x0c00d40000000000,1,Item,300,2,"CGObject,Tag_Item",
14,0xFBC,1,3,Item,0,0x4000000d6f378837,0x0c00d40000000000,1,Item,300,2,"CGObject,Tag_Item",
15,0x10FF,1,3,Item,0,0x4000000d6f3970c4,0x0c00d40000000000,1,Item,300,2,"CGObject,Tag_Item",
16,0x1242,1,3,Item,0,0x4000000d6ed08dc5,0x0c00d40000000000,1,Item,304,2,"CGObject,Tag_Item",
17,0x1389,1,3,Item,0,0x4000000d6f55c2df,0x0c00d40000000000,1,Item,308,2,"CGObject,Tag_Item",
