# c:/sniff/wall_floor_ceiling_customize/dumps/dump_12.0.1.66838_2026-04-12_10-11-26.pkt
# idx	dir	opcode	name	size
0	SMSG	0x00490000	Unknown	69
1	CMSG	0x00410001	Unknown	902
2	SMSG	0x00490004	Unknown	73
3	CMSG	0x00410005	Unknown	4
4	SMSG	0x0042036C	Unknown	4
5	SMSG	0x004202CC	Unknown	101
6	SMSG	0x005F0007	Unknown	13
7	SMSG	0x004202AD	Unknown	34
8	SMSG	0x004202AD	Unknown	667
9	SMSG	0x004202C9	Unknown	8
10	SMSG	0x00420001	Unknown	1606
11	SMSG	0x00420121	Unknown	60
12	SMSG	0x00420063	Unknown	241
13	SMSG	0x0042036A	SMSG_MIRROR_VARS	4560
14	CMSG	0x00400014	Unknown	4
15	CMSG	0x004000EA	Unknown	4
16	SMSG	0x0046000E	Unknown	8
17	SMSG	0x00460001	Unknown	22468
18	CMSG	0x00400132	Unknown	5
19	SMSG	0x004202AF	Unknown	5
20	SMSG	0x0042021C	Unknown	110
21	SMSG	0x004200F3	Unknown	8
22	SMSG	0x00420224	Unknown	59
23	SMSG	0x00420224	Unknown	59
24	SMSG	0x00420224	Unknown	69
25	SMSG	0x00420224	Unknown	69
26	SMSG	0x00420224	Unknown	69
27	SMSG	0x004201B4	Unknown	174
28	SMSG	0x00420063	Unknown	241
29	SMSG	0x0042036A	SMSG_MIRROR_VARS	4560
30	SMSG	0x00420266	Unknown	36
31	SMSG	0x00420018	Unknown	30301
32	SMSG	0x00420019	Unknown	267
33	SMSG	0x004201B4	Unknown	174
34	SMSG	0x00420019	Unknown	36
35	SMSG	0x00420019	Unknown	64
36	SMSG	0x00420019	Unknown	47
37	SMSG	0x00420019	Unknown	176
38	SMSG	0x0042021B	Unknown	12
39	SMSG	0x0042035B	Unknown	99
40	SMSG	0x0042021E	Unknown	104
41	SMSG	0x0042021E	Unknown	104
42	SMSG	0x0042021E	Unknown	104
43	SMSG	0x0042021E	Unknown	104
44	SMSG	0x0042021E	Unknown	104
45	SMSG	0x0042021E	Unknown	104
46	SMSG	0x0042021E	Unknown	104
47	SMSG	0x0042021E	Unknown	104
48	SMSG	0x0042021E	Unknown	104
49	SMSG	0x0042021E	Unknown	104
50	SMSG	0x0042021E	Unknown	104
51	SMSG	0x0042021E	Unknown	104
52	SMSG	0x0042021E	Unknown	104
53	SMSG	0x0042021E	Unknown	104
54	SMSG	0x0042021E	Unknown	104
55	SMSG	0x0042021E	Unknown	104
56	SMSG	0x0042021E	Unknown	104
57	SMSG	0x0042021E	Unknown	104
58	SMSG	0x0042021E	Unknown	104
59	SMSG	0x0042021E	Unknown	104
60	SMSG	0x00420369	Unknown	8
61	SMSG	0x00420369	Unknown	8
62	SMSG	0x00420224	Unknown	59
63	SMSG	0x00420224	Unknown	69
64	SMSG	0x00420224	Unknown	69
65	SMSG	0x00420224	Unknown	69
66	SMSG	0x004202FC	Unknown	4539
67	SMSG	0x00420369	Unknown	8
68	SMSG	0x00420369	Unknown	8
69	CMSG	0x00290036	Unknown	4
70	CMSG	0x0040010F	Unknown	4
71	CMSG	0x00400014	Unknown	4
72	CMSG	0x004000EA	Unknown	4
73	CMSG	0x004000EA	Unknown	4
74	CMSG	0x004000E9	Unknown	4
75	CMSG	0x00400123	Unknown	4
76	CMSG	0x00400176	Unknown	4
77	SMSG	0x00420274	Unknown	13
78	SMSG	0x0042021A	Unknown	58850
79	CMSG	0x004000EA	Unknown	4
80	CMSG	0x0040019F	Unknown	5
81	CMSG	0x004000EA	Unknown	4
82	CMSG	0x004000EA	Unknown	4
83	CMSG	0x004000CA	Unknown	4
84	CMSG	0x004000EA	Unknown	4
85	SMSG	0x00420018	Unknown	30301
86	CMSG	0x00400011	Unknown	11244
87	CMSG	0x00400124	Unknown	43
88	CMSG	0x004000EA	Unknown	4
89	SMSG	0x00420019	Unknown	267
90	SMSG	0x004201B4	Unknown	174
91	SMSG	0x00420019	Unknown	36
92	SMSG	0x00420019	Unknown	64
93	SMSG	0x00420019	Unknown	47
94	SMSG	0x00420019	Unknown	176
95	SMSG	0x0042021B	Unknown	12
96	SMSG	0x0042037A	Unknown	12
97	SMSG	0x0042021B	Unknown	12
98	SMSG	0x0042029B	Unknown	5
99	SMSG	0x00420323	Unknown	5
100	SMSG	0x0042035B	Unknown	99
101	SMSG	0x0042021E	Unknown	104
102	SMSG	0x0042021E	Unknown	104
103	SMSG	0x0042021E	Unknown	104
104	SMSG	0x0042021E	Unknown	104
105	SMSG	0x0042021E	Unknown	104
106	SMSG	0x0042021E	Unknown	104
107	SMSG	0x0042021E	Unknown	104
108	SMSG	0x0042021E	Unknown	104
109	SMSG	0x0042021E	Unknown	104
110	SMSG	0x0042021E	Unknown	104
111	CMSG	0x0040013A	Unknown	8
112	SMSG	0x0042021E	Unknown	104
113	SMSG	0x0042021E	Unknown	104
114	SMSG	0x0042021E	Unknown	104
115	SMSG	0x0042021E	Unknown	104
116	SMSG	0x0042021E	Unknown	104
117	SMSG	0x0042021E	Unknown	104
118	SMSG	0x0042021E	Unknown	104
119	SMSG	0x0042021E	Unknown	104
120	SMSG	0x0042021E	Unknown	104
121	SMSG	0x0042021E	Unknown	104
122	SMSG	0x004201BE	Unknown	12
123	SMSG	0x0042037B	Unknown	6
124	SMSG	0x0042021B	Unknown	12
125	SMSG	0x00460003	Unknown	8098807
126	SMSG	0x0042021B	Unknown	12
127	SMSG	0x0042021B	Unknown	12
128	SMSG	0x0042021B	Unknown	12
129	SMSG	0x0042021B	Unknown	12
130	SMSG	0x004202AD	Unknown	124
131	SMSG	0x004202C5	Unknown	72
132	SMSG	0x005F0007	Unknown	12
133	SMSG	0x004202D7	Unknown	13
134	SMSG	0x005F0007	Unknown	13
135	SMSG	0x004202D7	Unknown	69
136	SMSG	0x004202AE	Unknown	518
137	SMSG	0x004202AE	Unknown	703
138	SMSG	0x004202AE	Unknown	1014
139	SMSG	0x004202AE	Unknown	130
140	SMSG	0x004202AE	Unknown	395
141	SMSG	0x004202AE	Unknown	515
142	SMSG	0x004202AE	Unknown	316
143	SMSG	0x004202AE	Unknown	227
144	CMSG	0x00400010	Unknown	410
145	SMSG	0x00460000	Unknown	21
146	SMSG	0x00460000	Unknown	37
147	SMSG	0x00460000	Unknown	37
148	SMSG	0x00460000	Unknown	37
149	SMSG	0x00460000	Unknown	37
150	SMSG	0x00460000	Unknown	21
151	SMSG	0x00460000	Unknown	21
152	SMSG	0x00460000	Unknown	37
153	SMSG	0x00460000	Unknown	37
154	SMSG	0x00460000	Unknown	21
155	SMSG	0x00460000	Unknown	37
156	SMSG	0x00460000	Unknown	37
157	SMSG	0x00460000	Unknown	37
158	SMSG	0x00460000	Unknown	21
159	SMSG	0x00460000	Unknown	37
160	SMSG	0x00460000	Unknown	21
161	SMSG	0x00460000	Unknown	37
162	SMSG	0x00460000	Unknown	37
163	SMSG	0x00460000	Unknown	37
164	SMSG	0x00460000	Unknown	21
165	SMSG	0x00460000	Unknown	37
166	SMSG	0x00460000	Unknown	21
167	SMSG	0x00460000	Unknown	21
168	SMSG	0x00460000	Unknown	21
169	SMSG	0x00460000	Unknown	37
170	SMSG	0x00460000	Unknown	21
171	SMSG	0x00460000	Unknown	37
172	SMSG	0x00460000	Unknown	21
173	SMSG	0x00460000	Unknown	37
174	SMSG	0x00460000	Unknown	37
175	SMSG	0x00460000	Unknown	37
176	SMSG	0x00460000	Unknown	21
177	SMSG	0x00460000	Unknown	21
178	SMSG	0x00460000	Unknown	37
179	SMSG	0x00460000	Unknown	37
180	SMSG	0x00460000	Unknown	37
181	SMSG	0x00460000	Unknown	37
182	SMSG	0x00460000	Unknown	21
183	SMSG	0x00460000	Unknown	21
184	SMSG	0x00460000	Unknown	21
185	SMSG	0x00460000	Unknown	37
186	SMSG	0x00460000	Unknown	37
187	SMSG	0x00460000	Unknown	21
188	SMSG	0x00460000	Unknown	21
189	SMSG	0x00460000	Unknown	21
190	SMSG	0x00460000	Unknown	21
191	SMSG	0x00460000	Unknown	21
192	SMSG	0x00460000	Unknown	37
193	SMSG	0x00460000	Unknown	37
194	SMSG	0x00460000	Unknown	37
195	SMSG	0x00460000	Unknown	37
196	SMSG	0x00460000	Unknown	37
197	SMSG	0x00460000	Unknown	21
198	SMSG	0x00460000	Unknown	37
199	SMSG	0x00460000	Unknown	21
200	SMSG	0x00460000	Unknown	37
201	SMSG	0x00460000	Unknown	21
202	SMSG	0x00460000	Unknown	37
203	SMSG	0x00460000	Unknown	37
204	SMSG	0x00460000	Unknown	21
205	SMSG	0x00460000	Unknown	37
206	SMSG	0x00460000	Unknown	21
207	CMSG	0x00400010	Unknown	314
208	SMSG	0x00460000	Unknown	21
209	SMSG	0x00460000	Unknown	21
210	SMSG	0x00460000	Unknown	37
211	SMSG	0x00460000	Unknown	21
212	SMSG	0x00460000	Unknown	21
213	SMSG	0x00460000	Unknown	37
214	SMSG	0x00460000	Unknown	21
215	SMSG	0x00460000	Unknown	21
216	SMSG	0x00460000	Unknown	21
217	SMSG	0x00460000	Unknown	21
218	SMSG	0x00460000	Unknown	21
219	SMSG	0x00460000	Unknown	37
220	SMSG	0x00460000	Unknown	21
221	SMSG	0x00460000	Unknown	37
222	SMSG	0x00460000	Unknown	21
223	SMSG	0x00460000	Unknown	21
224	SMSG	0x00460000	Unknown	21
225	SMSG	0x00460000	Unknown	37
226	SMSG	0x00460000	Unknown	21
227	SMSG	0x00460000	Unknown	37
228	SMSG	0x00460000	Unknown	37
229	SMSG	0x00460000	Unknown	37
230	SMSG	0x00460000	Unknown	37
231	SMSG	0x00460000	Unknown	21
232	SMSG	0x00460000	Unknown	37
233	SMSG	0x00460000	Unknown	37
234	SMSG	0x00460000	Unknown	37
235	SMSG	0x00460000	Unknown	21
236	SMSG	0x00460000	Unknown	21
237	SMSG	0x00460000	Unknown	21
238	SMSG	0x00460000	Unknown	21
239	SMSG	0x00460000	Unknown	37
240	SMSG	0x00460000	Unknown	21
241	SMSG	0x00460000	Unknown	21
242	SMSG	0x00460000	Unknown	21
243	SMSG	0x00460000	Unknown	37
244	SMSG	0x00460000	Unknown	21
245	SMSG	0x00460000	Unknown	37
246	SMSG	0x00460000	Unknown	21
247	SMSG	0x00460000	Unknown	37
248	SMSG	0x00460000	Unknown	21
249	SMSG	0x00460000	Unknown	21
250	SMSG	0x00460000	Unknown	21
251	SMSG	0x00460000	Unknown	21
252	SMSG	0x00460000	Unknown	21
253	SMSG	0x00460000	Unknown	37
254	SMSG	0x00460000	Unknown	37
255	SMSG	0x00460000	Unknown	37
256	SMSG	0x00460000	Unknown	21
257	SMSG	0x00460000	Unknown	21
258	SMSG	0x00460000	Unknown	21
259	SMSG	0x00460000	Unknown	37
260	SMSG	0x00460000	Unknown	21
261	SMSG	0x00460000	Unknown	21
262	SMSG	0x00460000	Unknown	21
263	SMSG	0x00460000	Unknown	21
264	SMSG	0x00460000	Unknown	37
265	SMSG	0x00460000	Unknown	21
266	SMSG	0x00460000	Unknown	37
267	SMSG	0x00460000	Unknown	37
268	SMSG	0x00460000	Unknown	37
269	SMSG	0x00460000	Unknown	37
270	SMSG	0x00460000	Unknown	37
271	SMSG	0x00460000	Unknown	21
272	SMSG	0x00460000	Unknown	21
273	SMSG	0x00460000	Unknown	37
274	SMSG	0x00460000	Unknown	21
275	SMSG	0x00460000	Unknown	21
276	SMSG	0x00460000	Unknown	37
277	SMSG	0x00460000	Unknown	37
278	SMSG	0x00460000	Unknown	21
279	SMSG	0x00460000	Unknown	37
280	SMSG	0x00460000	Unknown	37
281	SMSG	0x00460000	Unknown	37
282	SMSG	0x00460000	Unknown	21
283	SMSG	0x00460000	Unknown	37
284	SMSG	0x00460000	Unknown	37
285	SMSG	0x00460000	Unknown	37
286	SMSG	0x00460000	Unknown	37
287	SMSG	0x00460000	Unknown	37
288	SMSG	0x00460000	Unknown	37
289	SMSG	0x00460000	Unknown	21
290	SMSG	0x00460000	Unknown	21
291	SMSG	0x00460000	Unknown	21
292	SMSG	0x00460000	Unknown	21
293	SMSG	0x00460000	Unknown	21
294	SMSG	0x00460000	Unknown	37
295	SMSG	0x00460000	Unknown	37
296	SMSG	0x00460000	Unknown	21
297	SMSG	0x00460000	Unknown	21
298	SMSG	0x00460000	Unknown	37
299	SMSG	0x00460000	Unknown	37
300	SMSG	0x00460000	Unknown	21
301	SMSG	0x00460000	Unknown	37
302	SMSG	0x00460000	Unknown	21
303	SMSG	0x00460000	Unknown	37
304	SMSG	0x00460000	Unknown	21
305	SMSG	0x00460000	Unknown	21
306	SMSG	0x00460000	Unknown	21
307	SMSG	0x00460000	Unknown	37
308	SMSG	0x00460000	Unknown	37
309	SMSG	0x00460000	Unknown	37
310	SMSG	0x00460000	Unknown	21
311	SMSG	0x00460000	Unknown	21
312	SMSG	0x00460000	Unknown	21
313	SMSG	0x00460000	Unknown	37
314	SMSG	0x00460000	Unknown	21
315	SMSG	0x00460000	Unknown	37
316	SMSG	0x00460000	Unknown	21
317	SMSG	0x00460000	Unknown	21
318	SMSG	0x00460000	Unknown	37
319	SMSG	0x00460000	Unknown	37
320	SMSG	0x00460000	Unknown	21
321	SMSG	0x00460000	Unknown	21
322	CMSG	0x00400193	Unknown	353
323	CMSG	0x0040018F	Unknown	120
324	CMSG	0x004000EA	Unknown	4
325	CMSG	0x004000EA	Unknown	4
326	CMSG	0x004000EA	Unknown	4
327	CMSG	0x004000EA	Unknown	4
328	CMSG	0x004000EA	Unknown	4
329	CMSG	0x004000EA	Unknown	4
330	CMSG	0x004000EA	Unknown	4
331	CMSG	0x004000EA	Unknown	4
332	CMSG	0x004000EA	Unknown	4
333	CMSG	0x004000EA	Unknown	4
334	CMSG	0x004000B5	Unknown	8
335	CMSG	0x004000B5	Unknown	8
336	CMSG	0x004000B5	Unknown	8
337	CMSG	0x004000B5	Unknown	8
338	CMSG	0x004000B5	Unknown	8
339	CMSG	0x004000B5	Unknown	8
