=== LOGIN + ENTER PLOT FLOW ===
File: c:/sniff/interrior_exterrior_advanced_editor/dumps/dump_12.0.1.66838_2026-04-15_09-35-59.pkt
Total packets: 12615
CMSG_PLAYER_LOGIN   @idx 419
SMSG_LOGIN_VERIFY_WORLD @idx 5393
SMSG_HOUSING_HOUSE_STATUS_RESPONSE @idx 6450
Dumping packets [0..6500]

[    0] t=4790098380625470083 SMSG 0x00490000 size=    69 unk_0x00490000
[    1] t=4790098380625480552 CMSG 0x00410001 size=   902 unk_0x00410001
[    2] t=4790098380625811231 SMSG 0x00490004 size=    73 unk_0x00490004
[    3] t=4790098380625813484 CMSG 0x00410005 size=     4 unk_0x00410005
[    4] t=4790098380630248411 SMSG 0x004202CC size=   101 unk_0x004202CC
[    5] t=4790098380630248411 SMSG 0x004202AD size=    34 unk_0x004202AD
[    6] t=4790098380630248411 SMSG 0x004202D7 size=    13 unk_0x004202D7
[    7] t=4790098380630248411 SMSG 0x004202C9 size=     8 unk_0x004202C9
[    8] t=4790098380630248411 SMSG 0x00420001 size=  1606 unk_0x00420001
[    9] t=4790098380630248411 SMSG 0x00420121 size=    60 unk_0x00420121
[   10] t=4790098380630248411 SMSG 0x00420063 size=   241 unk_0x00420063
[   11] t=4790098380630249357 SMSG 0x0042036A size=  4560 unk_0x0042036A
[   12] t=4790098380630264693 CMSG 0x00400014 size=     4 unk_0x00400014
[   13] t=4790098380630271177 CMSG 0x004000EA size=     4 unk_0x004000EA
[   14] t=4790098380630336909 CMSG 0x00400132 size=     5 unk_0x00400132
[   15] t=4790098380630254703 SMSG 0x0046000E size=     8 unk_0x0046000E
[   16] t=4790098380630254703 SMSG 0x00460001 size= 22668 unk_0x00460001
[   17] t=4790098380630379856 SMSG 0x004202AF size=     5 unk_0x004202AF
[   18] t=4790098380630379856 SMSG 0x004202AD size=   667 unk_0x004202AD
[   19] t=4790098380630379856 SMSG 0x004202AE size=   361 unk_0x004202AE
[   20] t=4790098380631985533 SMSG 0x004202D7 size=    69 unk_0x004202D7
[   21] t=4790098380631985533 SMSG 0x00420355 size=     9 unk_0x00420355
[   22] t=4790098380631985533 SMSG 0x0042021C size=   110 unk_0x0042021C
[   23] t=4790098380631985533 SMSG 0x004201B4 size=   174 unk_0x004201B4
[   24] t=4790098380631985533 SMSG 0x00420063 size=   241 unk_0x00420063
[   25] t=4790098380631985533 SMSG 0x0042036A size=  4560 unk_0x0042036A
[   26] t=4790098380631985533 SMSG 0x00420266 size=    36 unk_0x00420266
[   27] t=4790098380631985533 SMSG 0x0042036C size=     4 unk_0x0042036C
[   28] t=4790098380631985533 SMSG 0x004200F3 size=     8 unk_0x004200F3
[   29] t=4790098380631985533 SMSG 0x00420224 size=    59 unk_0x00420224
[   30] t=4790098380631985533 SMSG 0x00420224 size=    59 unk_0x00420224
[   31] t=4790098380631985533 SMSG 0x00420224 size=    69 unk_0x00420224
[   32] t=4790098380631985533 SMSG 0x00420224 size=    69 unk_0x00420224
[   33] t=4790098380631985533 SMSG 0x00420224 size=    69 unk_0x00420224
[   34] t=4790098380631985533 SMSG 0x0042021B size=    12 unk_0x0042021B
[   35] t=4790098380631985533 SMSG 0x004202AE size=  3362 unk_0x004202AE
[   36] t=4790098380632047051 SMSG 0x004202AE size=   492 unk_0x004202AE
[   37] t=4790098380632047051 SMSG 0x00420018 size= 30301 unk_0x00420018
[   38] t=4790098380632108671 SMSG 0x00420019 size=   267 unk_0x00420019
[   39] t=4790098380632108671 SMSG 0x004201B4 size=   174 unk_0x004201B4
[   40] t=4790098380632108671 SMSG 0x00420019 size=    64 unk_0x00420019
[   41] t=4790098380632108671 SMSG 0x00420019 size=    36 unk_0x00420019
[   42] t=4790098380632108671 SMSG 0x00420019 size=    47 unk_0x00420019
[   43] t=4790098380632108671 SMSG 0x00420019 size=   176 unk_0x00420019
[   44] t=4790098380632235930 SMSG 0x0042035B size=    99 unk_0x0042035B
[   45] t=4790098380632235930 SMSG 0x0042021E size=   104 unk_0x0042021E
[   46] t=4790098380632235930 SMSG 0x0042021E size=   104 unk_0x0042021E
[   47] t=4790098380632235930 SMSG 0x0042021E size=   104 unk_0x0042021E
[   48] t=4790098380632235930 SMSG 0x0042021E size=   104 unk_0x0042021E
[   49] t=4790098380632235930 SMSG 0x0042021E size=   104 unk_0x0042021E
[   50] t=4790098380632235930 SMSG 0x0042021E size=   104 unk_0x0042021E
[   51] t=4790098380632235930 SMSG 0x0042021E size=   104 unk_0x0042021E
[   52] t=4790098380632235930 SMSG 0x0042021E size=   104 unk_0x0042021E
[   53] t=4790098380632235930 SMSG 0x0042021E size=   104 unk_0x0042021E
[   54] t=4790098380632235930 SMSG 0x0042021E size=   104 unk_0x0042021E
[   55] t=4790098380632235930 SMSG 0x0042021E size=   104 unk_0x0042021E
[   56] t=4790098380632235930 SMSG 0x0042021E size=   104 unk_0x0042021E
[   57] t=4790098380632235930 SMSG 0x0042021E size=   104 unk_0x0042021E
[   58] t=4790098380632235930 SMSG 0x0042021E size=   104 unk_0x0042021E
[   59] t=4790098380632235930 SMSG 0x0042021E size=   104 unk_0x0042021E
[   60] t=4790098380632235930 SMSG 0x0042021E size=   104 unk_0x0042021E
[   61] t=4790098380632235930 SMSG 0x0042021E size=   104 unk_0x0042021E
[   62] t=4790098380632235930 SMSG 0x0042021E size=   104 unk_0x0042021E
[   63] t=4790098380633120248 SMSG 0x0042021E size=   104 unk_0x0042021E
[   64] t=4790098380633120248 SMSG 0x0042021E size=   104 unk_0x0042021E
[   65] t=4790098380633120248 SMSG 0x00420369 size=     8 unk_0x00420369
[   66] t=4790098380633120248 SMSG 0x00420369 size=     8 unk_0x00420369
[   67] t=4790098380633120248 SMSG 0x004202AE size=  1999 unk_0x004202AE
